crag,name,grade,ascents
rocktown,Khazad-Dum,7A+,1
rocktown,Heuco Simulator,5B,1
rocktown,helicopter traverse (low),7B+,1
rocktown,Anti Scoop Right,6C,1
rocktown,N.N.,5B,1
rocktown,The Shire,6C,1
rocktown,N.N.,6C,1
rocktown,Drunken Variation,7A,1
rocktown,Bitty B,6C,1
rocktown,Spirit Quest,7C+,1
rocktown,Serendipity,6B,1
rocktown,Colonoscopy,6C,1
rocktown,Guin Trav. Ext.,6B,1
rocktown,Mr. Sweeny,7A+,1
rocktown,Deception Var.,7B+,1
rocktown,Pitfall,7A,1
rocktown,Holy Roller,6C,1
rocktown,Majors,6C,1
rocktown,Almost Christmas,7A,1
rocktown,Rail Problem,5B,1
rocktown,The Inner Circle,6B,1
rocktown,N.N.,7A+,1
rocktown,Goforina,5A,1
rocktown,tractor traylor original eliminate sitstart extens,7C,1
rocktown,Fiddlin with your Cousin,7A+,1
rocktown,Stretchy Mon,7A,1
rocktown,Blue Balls,6B,1
rocktown,The standered,6C,1
rocktown,Magic Dish,6B,1
rocktown,Cook Book Left,6C,1
rocktown,Stretch Mon,6C,1
rocktown,loud pipes,6B,1
rocktown,Sling Shot,7A,1
rocktown,toad,6B,1
rocktown,Ummmm #2,6A+,1
rocktown,jah yoga mon traverse,7A,1
rocktown,Lock Croc and Two Smoking Crimps,7C,1
rocktown,Plateau slam,5C,1
rocktown,Scott's Birthday Problem,6C,1
rocktown,Middle Line,7A,1
rocktown,Poparazzi sit,7C,1
rocktown,Up the Hill Variation,6B,1
rocktown,HW direct,7A,1
rocktown,Khazad-Dum,7A+,1
rocktown,The Comet Standard,6C,1
rocktown,alligator stand,6C,1
rocktown,the orb direct-ish,7B+,1
rocktown,Heuco Simulator,5B,1
rocktown,helicopter traverse (low),7B+,1
rocktown,The Shire,6C,1
rocktown,Anti Scoop Right,6C,1
rocktown,N.N.,5B,1
rocktown,black pinch low,7A,1
rocktown,The Elusive Jumbo Shrimp,6C,1
rocktown,Hailey's Comet,6A,1
rocktown,pinching log,6C,1
rocktown,Standard Deviation A,6C,1
rocktown,orb direct (stand),7A+,1
rocktown,N.N.,5B,1
rocktown,Squeak,5A,1
rocktown,traylor is an idiot,7A+,1
rocktown,N.N. (V0),5A,1
rocktown,Slappers,6C,1
rocktown,Sheriff?,7A,1
rocktown,Mr. Stretchy,6C,1
rocktown,The Challenge trav.,5B,1
rocktown,Goforia Traverse,5C,1
rocktown,Manhole,5C,1
rocktown,Tao Mantle,5C,1
rocktown,Bonk,5C,1
rocktown,Bumrubber,5C,1
rocktown,Banjo Right,5C,1
rocktown,Byrd Man,5C,1
rocktown,thing,6B,1
rocktown,Iron Claw Low,7C,1
rocktown,Middle bad,6C,1
rocktown,Fluffy,5B,1
rocktown,Drunken Barn Dance Dyno,7A+,1
rocktown,Trailer's Roof Problem,7C+,1
rocktown,Sherman-Hole,7B,1
rocktown,Poopy diaper,5A,1
rocktown,Brown streak,5A,1
rocktown,Under the Paw,5A,1
rocktown,Double Trouble Full,7A,1
rocktown,Tractor Trailer Roof Unknown,6C,1
rocktown,crimp problem ??,7A,1
rocktown,Easy party right,5A,1
rocktown,Sherman Candy,7A+,1
rocktown,Birth canal,5B,1
rocktown,Rhodenima,5A,1
rocktown,gold brooke,6C,1
rocktown,Crescent,7A+,1
rocktown,N.N. (#4 dr.topo),6A,1
rocktown,Birth canal,5B,1
rocktown,Rhodenima,5A,1
rocktown,Grinder impaler,7A+,1
rocktown,Discharge Eliminate,7C,1
rocktown,Crescent,7A+,1
rocktown,N.N. (#4 dr.topo),6A,1
rocktown,Rimjob,5C,1
rocktown,N.N. (Valley Problem),6B,1
rocktown,Trailer's Roof Problem,7C+,1
rocktown,Sherman-Hole,7B,1
rocktown,Poopy diaper,5A,1
rocktown,Brown streak,5A,1
rocktown,Under the Paw,5A,1
rocktown,Double Trouble Full,7A,1
rocktown,Tractor Trailer Roof Unknown,6C,1
rocktown,crimp problem ??,7A,1
rocktown,Easy party right,5A,1
rocktown,Sherman Candy,7A+,1
rocktown,Gollum Variation,7A,1
rocktown,UFO,7A,1
rocktown,Little Drummer,6B,1
rocktown,Great Unknown,6A,1
rocktown,Soap on A Rope Long Variation,6C+,1
rocktown,stretchy mom,6C,1
rocktown,Funky cole medina,5B,1
rocktown,Thnuder,5B,1
rocktown,Yosemite crack,5A,1
rocktown,Narrows,5A,1
rocktown,Cerberus,5A,1
rocktown,Torque Converter,6A,1
rocktown,Deputy,6A,1
rocktown,Cramper,4A,1
rocktown,Stumpee,6B+,1
rocktown,Tombstone Left,6B,1
rocktown,Raven,6B,1
rocktown,Trickster,6A,1
rocktown,Hornet Face,7A+,1
rocktown,big bad boulder dyno,7A+,1
rocktown,Good Bald,7A+,1
rocktown,Standard Comet,6C,1
rocktown,Raven,6B,1
rocktown,Trickster,6A,1
rocktown,Hobbit Dyno,6C,1
rocktown,Bender,5C,1
rocktown,Eldorado,5B,1
rocktown,Nugget,5C,1
rocktown,Fred Nicole,5C,1
rocktown,Bucky,5C,1
rocktown,Yoga Star,6C,1
rocktown,Go Home Trad Your're Drunk,4C,1
rocktown,Sherman Photo Reverse Traverse,7A+,1
rocktown,b hole stand,7A,1
rocktown,Later Gator,6A,1
rocktown,N.N. (V4),6B+,1
rocktown,Good Bald,7A+,1
rocktown,Dial 911,7A,1
rocktown,Standard Comet,6C,1
rocktown,Center Line,7A+,1
rocktown,Pepper,7A+,1
rocktown,the coroner,6B,1
rocktown,Pump-a-thon,7A,1
rocktown,The Right Idiot,7A,1
rocktown,911,7A,1
rocktown,Up the Hill sds,6B,1
rocktown,v2 cave,5B,1
rocktown,2o feet of fun,5C,1
rocktown,Pockets,5B,1
rocktown,N.N. 15,6B,1
rocktown,The Torque Invertor,6A+,1
rocktown,Deception Arete,7A+,1
rocktown,sherman roof trav,7B+,1
rocktown,Slashback,7A+,1
rocktown,Td13 Sit,8A,1
rocktown,Golden Harvest Sit,7C+,1
rocktown,A-bar,6A,1
rocktown,burst of joy,7C,1
rocktown,Sugar,7A,1
rocktown,paparazzi sit left,7B,0
rocktown,Elicopter,7A,0
rocktown,The Orb Boulder Problem,7C+,0
